_excel_row,Id,ActivityId,OriItemType,OriItemId,NewItemType,NewItemCount
5,1,95,1,100001,171001,1
6,2,1008,1,100002,192001,3
7,3,1005,1,100003,160001,3
8,4,1018,1,100004,171001,1
9,5,,1,100005,192001,3
10,6,,1,100006,160001,3
11,7,,1,100007,171001,1
12,8,,1,100008,192001,3
13,9,,1,100009,160001,3
14,10,,1,100010,192001,3
15,11,,1,100014,192001,1
16,12,,1,100028,192001,1
17,13,,1,100029,192001,1
18,14,,1,100030,192001,1
19,15,,1,100031,192001,1
20,16,,1,100032,192001,1
21,17,,1,100050,192001,1
22,18,,1,100051,160001,3
23,19,,1,100052,160001,3
24,20,,1,100053,160001,3
25,21,,1,100054,192001,2
26,22,,1,100055,192001,2
27,23,,1,100056,192001,2
28,24,,1,100057,192001,2
29,25,,1,100058,192001,3
30,26,,1,100059,192001,1
31,27,,1,100060,160001,3
32,28,,2,1000001,192001,3
33,29,,2,1000002,192001,3
34,30,,2,1000003,192001,3
35,31,,2,1000004,192001,3
36,32,,1,100060,192001,3
37,33,,1,100061,192001,3
38,34,,1,100062,192001,3
39,35,,1,100063,192001,3
40,36,,1,100064,192001,3
41,37,,1,100065,192001,3
42,38,,1,100066,192001,3
43,39,,1,100067,192001,3
44,40,,1,100068,192001,3
