_excel_row,cardId,cardName,isPrestige,seasonId,cardChapter,sortNo,starLevel,type,jokerTrade,jokerCutdown,ItemId,isTrade,weight_10_0,weight_10_1,weight_10_2,weight_10_3,weight_10_4,weight_10_5,weight_10_6,weight_10_7,weight_10_8,weight_10_9
5,1000001,Joker,,-1,-1,-1,-1,4,1,86400,210006,0,,,,,,,,,,
6,1000003,Joker,,-1,-1,-1,-1,6,1,86400,210008,0,,,,,,,,,,
7,1000004,Ace Joker,,-1,-1,-1,-1,7,0,86400,210009,0,,,,,,,,,,
8,110101,Mini Golf,0,1,101,1,1,1,0,0,0,1,150,150,150,150,150,150,150,150,150,150
9,110102,Basketball,0,1,101,2,1,1,0,0,0,1,150,150,150,150,150,150,150,150,150,150
10,110103,Climbing,0,1,101,3,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
11,110104,Jogging,0,1,101,4,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
12,110105,Shufflebd,0,1,101,5,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
13,110106,Ping Pong,0,1,101,6,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
14,110107,Darts,0,1,101,7,1,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
15,110108,Surf Sim,0,1,101,8,1,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
16,110201,Float Ring,0,1,102,1,1,1,0,0,0,1,150,150,150,150,150,150,150,150,150,150
17,110202,Water Ball,0,1,102,2,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
18,110203,Ice Show,0,1,102,3,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
19,110204,Diving,0,1,102,4,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
20,110205,Beach Volleyball,0,1,102,5,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
21,110206,Cocktails,0,1,102,6,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
22,110207,Towel Art,0,1,102,7,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
23,110208,Pool Movie,0,1,102,8,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
24,110301,Treadmill,0,1,103,1,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
25,110302,Spin Bike,0,1,103,2,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
26,110303,Pilates,0,1,103,3,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
27,110304,Weights,0,1,103,4,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
28,110305,Boxing,0,1,103,5,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
29,110306,Yoga,0,1,103,6,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
30,110307,Health Talk,0,1,103,7,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
