_excel_row,Id,ForbidKey,Cost,CardPack1,Num1,CardPack2,Num2,CardPack3,Num3,CardPack4,Num4,ForbidKeyNote
5,1,gp_card_weekly699,99,100001,1,,,,,,,周卡
6,2,gp_card_weekly3499,199,100002,1,,,,,,,月卡
7,3,gp_card_monthly4499,299,100002,1,,,,,,,战令
8,4,iap_card_weekly699,399,100002,1,,,,,,,hunt礼包
9,5,iap_card_weekly3499,499,100002,1,,,,,,,新手礼包（不是带炸弹的那个）
10,6,iap_card_monthly4499,599,100002,1,,,,,,,新手签到
11,7,gp_battlepass1,699,100003,1,,,,,,,小猪礼包
12,8,gp_battlepass3,799,100003,1,,,,,,,啤酒礼包
13,9,gp_battlepass2,899,100003,1,,,,,,,周卡月卡
14,10,iap_battlePass1,999,100003,1,,,,,,,赛马
15,11,iap_battlePass3,1099,100004,1,,,,,,,次充礼包
16,12,iap_battlePass2,1199,100004,1,,,,,,,
17,13,gp_hunt_99,1299,100004,1,,,,,,,
18,14,gp_hunt_199,1399,100004,1,,,,,,,
19,15,gp_hunt_1,1499,100004,1,,,,,,,
20,16,gp_hunt_2,1999,100005,1,,,,,,,
21,17,gp_hunt_499,2499,100005,1,,,,,,,
22,18,gp_hunt_599,2999,100005,1,,,,,,,
23,19,gp_hunt_699,3499,100005,1,,,,,,,
24,20,gp_hunt_3,3999,100005,1,,,,,,,
25,21,gp_hunt_4,4999,100006,1,,,,,,,
26,22,gp_hunt_999,5499,100006,1,,,,,,,
27,23,gp_hunt_5,7499,100006,1,,,,,,,
28,24,gp_hunt_6,9999,100006,1,,,,,,,
29,25,gp_hunt_1799,,,,,,,,,,
30,26,gp_hunt_1999,,,,,,,,,,
31,27,gp_hunt_2499,,,,,,,,,,
32,28,gp_hunt_2999,,,,,,,,,,
33,29,gp_hunt_3499,,,,,,,,,,
34,30,gp_hunt_3999,,,,,,,,,,
35,31,gp_hunt_4499,,,,,,,,,,
36,32,gp_hunt_4999,,,,,,,,,,
37,33,gp_hunt_5999,,,,,,,,,,
38,34,gp_hunt_6999,,,,,,,,,,
39,35,gp_hunt_7999,,,,,,,,,,
40,36,gp_hunt_8999,,,,,,,,,,
41,37,gp_hunt_9999,,,,,,,,,,
42,38,iap_hunt_99,,,,,,,,,,
43,39,iap_hunt_199,,,,,,,,,,
44,40,iap_hunt_1,,,,,,,,,,
45,41,iap_hunt_2,,,,,,,,,,
46,42,iap_hunt_499,,,,,,,,,,
47,43,iap_hunt_599,,,,,,,,,,
48,44,iap_hunt_699,,,,,,,,,,
49,45,iap_hunt_3,,,,,,,,,,
50,46,iap_hunt_4,,,,,,,,,,
51,47,iap_hunt_999,,,,,,,,,,
52,48,iap_hunt_5,,,,,,,,,,
53,49,iap_hunt_6,,,,,,,,,,
54,50,iap_hunt_1799,,,,,,,,,,
55,51,iap_hunt_1999,,,,,,,,,,
56,52,iap_hunt_2499,,,,,,,,,,
57,53,iap_hunt_2999,,,,,,,,,,
58,54,iap_hunt_3499,,,,,,,,,,
59,55,iap_hunt_3999,,,,,,,,,,
60,56,iap_hunt_4499,,,,,,,,,,
61,57,iap_hunt_4999,,,,,,,,,,
62,58,iap_hunt_5999,,,,,,,,,,
63,59,iap_hunt_6999,,,,,,,,,,
64,60,iap_hunt_7999,,,,,,,,,,
65,61,iap_hunt_8999,,,,,,,,,,
66,62,iap_hunt_9999,,,,,,,,,,
67,63,gp_noviceoffer,,,,,,,,,,
68,64,iap_noviceoffer,,,,,,,,,,
69,65,gp_novicelogin,,,,,,,,,,
70,66,iap_novicelogin,,,,,,,,,,
71,67,gp_noviceoffer199,,,,,,,,,,
72,68,iap_noviceoffer199,,,,,,,,,,
73,69,gp_piggy_99,,,,,,,,,,
74,70,gp_piggy_199,,,,,,,,,,
75,71,gp_piggy_299,,,,,,,,,,
76,72,gp_piggy_399,,,,,,,,,,
77,73,gp_piggy_499,,,,,,,,,,
78,74,gp_piggy_599,,,,,,,,,,
79,75,gp_piggy_699,,,,,,,,,,
