_excel_row,payType,itemID,CommonPayKey,moduleNameId,itemShow,indexID,itemName,itemTypeName,icon,money_dollar,diamond,currencyType,priceType,vipType,discountRate,firstPayBenefitId,buyCountLimit,activityLimit,dailyLimit,weeklyLimit,monthlyLimit,needVipLevel,needVipLevelMax,validTimeSecond,timeLimitGroupID,consumeItemId,consumeItemCount,discountId,chip,emoticonSecond,emoticonItemId,giveItemId,giveItemcount,give,giveItem2Id,giveItem2count,giveVipExp,prizeRate,reductionRate,originalPrice,buyFail,popUp,isVipAdd,rewardDay,rewardDiamond,rewardMailTitle,rewardMailContent,payPoint,displayType,isContinuousAdd,rewardRate
5,1,gp_diamond_coin199,PK_199,2000,1,1,钻1,diamond,diamond1,199,200,2,,1,100,1,,,,,,,,,,,,,0,,,,,,,,200,100,0,,,0,0,0,0,,,0,,1,100
6,1,gp_diamond_coin499,PK_499,2000,1,2,钻2,diamond,diamond2,499,500,2,,1,100,2,,,,,,,,,,,,,0,,,,,,,,500,100,0,,,0,0,0,0,,,0,,1,100
7,1,gp_diamond_coin999,PK_999,2000,1,3,钻3,diamond,diamond3,999,1000,2,,1,100,3,,,,,,,,,,,,,0,,,,,,,,1000,100,0,,,0,0,0,0,,,0,,1,100
8,1,gp_diamond_coin1999,PK_1999,2000,1,4,钻4,diamond,diamond4,1999,2000,2,,1,100,4,,,,,,,,,,,,,0,,,,,,,,2000,100,0,,,0,0,0,0,,,0,,1,100
9,1,gp_diamond_coin4999,PK_4999,2000,1,5,钻4,diamond,diamond5,4999,5000,2,,1,100,5,,,,,,,,,,,,,0,,,,,,,,5000,100,0,,,0,0,0,0,,,0,,1,100
10,1,gp_diamond_coin9999,PK_9999,2000,1,6,钻6,diamond,diamond6,9999,10000,2,,1,100,6,,,,,,,,,,,,,0,,,,,,,,10000,100,0,,,0,0,0,0,,,0,,1,100
11,2,iap_diamond_coin199,PK_199,2000,1,101,钻1,diamond,diamond1,199,200,2,,1,100,1,,,,,,,,,,,,,0,,,,,,,,200,100,0,,,0,0,0,0,,,0,,1,100
12,2,iap_diamond_coin499,PK_499,2000,1,102,钻2,diamond,diamond2,499,500,2,,1,100,2,,,,,,,,,,,,,,,,,,,,,500,100,0,,,0,0,0,0,,,0,,1,100
13,2,iap_diamond_coin999,PK_999,2000,1,103,钻3,diamond,diamond3,999,1000,2,,1,100,3,,,,,,,,,,,,,0,,,,,,,,1000,100,0,,,0,0,0,0,,,0,,1,100
14,2,iap_diamond_coin1999,PK_1999,2000,1,104,钻4,diamond,diamond4,1999,2000,2,,1,100,4,,,,,,,,,,,,,0,,,,,,,,2000,100,0,,,0,0,0,0,,,0,,1,100
15,2,iap_diamond_coin4999,PK_4999,2000,1,105,钻4,diamond,diamond5,4999,5000,2,,1,100,5,,,,,,,,,,,,,0,,,,,,,,5000,100,0,,,0,0,0,0,,,0,,1,100
16,2,iap_diamond_coin9999,PK_9999,2000,1,106,钻6,diamond,diamond6,9999,10000,2,,1,100,6,,,,,,,,,,,,,0,,,,,,,,10000,100,0,,,0,0,0,0,,,0,,1,100
17,1,gp_shop_coin9999,PK_9999,1000,1,15,金币9,coin,chip9,9999,0,,9,1,100,,,,,,,,,,,,,,100000000,,,,,,,,10000,,0,,,0,0,0,0,,,0,,1,100
18,1,gp_shop_coin4999,PK_4999,1000,1,16,金币8,coin,chip8,4999,0,,9,1,100,,,,,,,,,,,,,,50000000,,,,,,,,5000,,0,,,0,0,0,0,,,0,,1,100
19,1,gp_shop_coin1999,PK_1999,1000,1,9,金币5,coin,chip6,1999,0,,9,1,100,,,,,,,,,,,,,,20000000,,,,,,,,2000,,0,,,0,0,0,0,,,0,,1,100
20,1,gp_shop_coin999,PK_999,1000,1,10,金币4,coin,chip5,999,0,,9,1,100,,,,,,,,,,,,,,10000000,,,,,,,,1000,,0,,,0,0,0,0,,,0,,1,100
21,1,gp_shop_coin499,PK_499,1000,1,11,金币3,coin,chip4,499,0,,9,1,100,,,,,,,,,,,,,,5000000,,,,,,,,500,,0,,,0,0,0,0,,,0,,1,100
22,1,gp_shop_coin199,PK_199,1000,1,14,金币1,coin,chip2,199,0,,9,1,100,,,,,,,,,,,,,,2000000,,,,,,,,200,,0,,,0,0,0,0,,,0,,1,100
23,2,iap_shop_coin9999,PK_9999,1000,1,115,金币9,coin,chip9,9999,0,,9,1,100,,,,,,,,,,,,,,100000000,,,,,,,,10000,,0,,,0,0,0,0,,,0,,1,100
24,2,iap_shop_coin4999,PK_4999,1000,1,116,金币8,coin,chip8,4999,0,,9,1,100,,,,,,,,,,,,,,50000000,,,,,,,,5000,,0,,,0,0,0,0,,,0,,1,100
25,2,iap_shop_coin1999,PK_1999,1000,1,109,金币5,coin,chip6,1999,0,,9,1,100,,,,,,,,,,,,,,20000000,,,,,,,,2000,,0,,,0,0,0,0,,,0,,1,100
26,2,iap_shop_coin999,PK_999,1000,1,110,金币4,coin,chip5,999,0,,9,1,100,,,,,,,,,,,,,,10000000,,,,,,,,1000,,0,,,0,0,0,0,,,0,,1,100
