_excel_row,id,isPrestige,seasonId,cardNum,chapterName,moduleNameId,rewardType,chapterCoins,chapterItem,chapterItemCount,cardControl,cardTotalNum,needNum
5,101,,1,8,Deck Sports,,17,250,,,0,,
6,102,,1,8,Pool Party,,17,270,,,0,,
7,103,,1,8,Fitness Center,,17,300,,,0,,
8,104,,1,8,Spa Relaxation,,17,320,,,0,,
9,105,,1,8,Live Shows,,17,340,,,0,,
10,106,,1,8,Casino Night,,17,350,,,0,,
11,107,,1,8,Dance Classes,,17,360,,,0,,
12,108,,1,8,Culinary,,17,370,,,0,,
13,109,,1,8,Artistry,,17,2000,,,0,,
14,110,,1,8,Family Fun,,17,2500,,,0,,
15,111,,1,8,Discovery,,17,2700,,,0,,
16,112,,1,8,Social Events,,17,2900,,,0,,
17,113,,1,8,Port Activities,,17,3100,,,0,,
18,114,,1,8,Celebrations,,17,3500,,,0,,
19,115,,1,8,Farewell,,17,4000,,,0,,
20,116,,1,8,Nightlife,,17,4250,,,0,,
21,117,,1,8,Tech Experience,,17,4500,,,0,,
22,118,,1,8,Eco Discovery,,17,5000,,,0,,
23,119,,1,8,Deluxe,,17,5500,,,0,,
24,120,1,1,8,Starlight Soirée,,17,6000,,,0,,
25,121,1,1,8,Crown Voyage,,17,6500,,,0,,
26,201,,2,8,Autumn Leaves,,17,250,,,0,,
27,202,,2,8,Harvest Fruit,,17,270,,,0,,
28,203,,2,8,Halloween,,17,300,,,0,,
29,204,,2,8,Thanks Giving,,17,320,,,0,,
30,205,,2,8,Autumn Fashion,,17,340,,,0,,
31,206,,2,8,School,,17,350,,,0,,
32,207,,2,8,Autumn Sports,,17,360,,,0,,
33,208,,2,8,Cool Weather,,17,370,,,0,,
34,209,,2,8,Autumn Drinks,,17,2000,,,0,,
35,210,,2,8,Autumn Baking,,17,2500,,,0,,
36,211,,2,8,Autumn Travel,,17,2700,,,0,,
37,212,,2,8,Autumn Festivals,,17,2900,,,0,,
38,213,,2,8,Autumn Animal,,17,3100,,,0,,
39,214,,2,8,Autumn Flower,,17,3500,,,0,,
40,215,,2,8,Farmers Market,,17,4000,,,0,,
41,216,,2,8,Decoration,,17,4250,,,0,,
42,217,,2,8,Autumn Art,,17,4500,,,0,,
43,218,,2,8,Music,,17,5000,,,0,,
44,219,,2,8,Autumn End,,17,5500,,,0,,
45,220,1,2,8,Handy Tools,,17,6000,,,0,,
46,221,1,2,8,Farm Machines,,17,6500,,,0,,
