_excel_row,id,pack,itemId,season,weight,maxStar,maxStarCount,cardNum,type1,star1,group1,num1,type2,star2,group2,num2,type3,star3,group3,num3,type4,star4,group4,num4,type5,star5,group5,num5,cardId1,cardId2,cardId3
5,1,100050,210003,1,100,3,2,3,1,1,1001,2,1,3,1003,1,0,0,45,,,,45,,,,,,,,
6,2,100051,210003,1,100,3,2,4,1,1,1001,2,1,2,1002,1,1,3,1003,1,0,0,45,,,,,,,,
7,3,100052,210003,1,100,3,2,4,1,1,1001,2,1,2,1002,1,1,3,1003,1,0,0,45,,,,,,,,
8,4,100053,210004,1,100,4,1,3,1,1,1001,1,1,3,1003,1,1,4,1004,1,0,0,45,,,,,,,,
9,5,100054,210004,1,100,4,2,4,1,1,1001,2,1,2,1002,1,1,4,1004,1,0,0,45,,,,,,,,
10,6,100055,210004,1,100,4,1,4,1,1,1001,1,1,2,1002,1,1,3,1003,1,1,4,1004,1,0,0,0,0,,,
11,7,100056,210004,1,100,4,2,5,1,1,1001,2,1,2,1002,2,1,4,1004,1,0,0,45,,,,,,,,
12,8,100057,210004,1,100,4,2,5,1,1,1001,2,1,2,1002,1,1,3,1003,1,1,4,1004,1,0,0,0,0,,,
13,9,100058,210005,1,100,5,2,5,1,1,1001,2,1,2,1002,1,1,4,1004,1,1,5,1005,1,0,0,0,0,,,
14,10,100059,210001,1,75,1,2,2,1,1,1001,2,0,0,45,,,,45,,,,45,,,,,,,,
15,11,100060,210002,1,100,2,2,3,1,1,1001,2,1,2,1002,1,0,0,45,,,,45,,,,,,,,
16,12,100061,210010,1,100,4,2,4,1,1,1001,2,1,3,1003,1,2,4,1006,1,0,0,45,,,,,,,,
17,13,100062,210010,1,100,4,3,5,1,1,1001,3,1,2,1002,1,2,4,1006,1,0,0,45,,,,,,,,
18,14,100063,210010,1,100,4,3,6,1,1,1001,3,1,2,1002,2,2,4,1006,1,0,0,45,,,,,,,,
19,15,100064,210010,1,100,5,2,4,1,1,1001,2,1,3,1003,1,2,5,1009,1,0,0,45,,,,,,,,
20,16,100065,210010,1,100,4,4,6,1,1,1001,4,1,2,1002,1,2,4,1006,1,0,0,45,,,,,,,,
21,17,100066,210010,1,100,4,3,6,1,1,1001,3,1,2,1002,2,2,4,1006,1,0,0,45,,,,,,,,
22,18,100067,210010,1,100,5,3,5,1,1,1001,3,1,2,1002,1,2,5,1009,1,0,0,45,,,,,,,,
23,19,100068,210010,1,100,5,4,6,1,1,1001,4,1,2,1002,1,2,5,1009,1,0,0,45,,,,,,,,
