_excel_row,itemID,name,name_zh,itemType,param1,maxNum,ticketMatchID,desc,_comm,icon,iconNew,validTimeSecond,phoneCardMoney,rewardChip,rewardDiamond,rewardItemNum,reward_itemid_5_0,reward_itemcount_5_0,reward_itemid_5_1,reward_itemcount_5_1,reward_itemid_5_2,reward_itemcount_5_2,reward_itemid_5_3,reward_itemcount_5_3,reward_itemid_5_4,reward_itemcount_5_4,scoreAddition,itemDuration,itemEndTime
5,1,新手礼包,,4,,999999,,内含有各种福利,,,,864000,,1000,,,,,,,,,,,,,,,
6,2,老手礼包,,4,,999999,,内含有各种福利,,,,,,,1000,,,,,,,,,,,,,,
7,3,登录礼包,,4,,999999,,内含有各种福利,,,,,,,,2,10001,1,20001,1,,,,,,,,,
8,30088,#UIAvatar42,默认头像框,5,66,1,,#UIDescription54,默认头像框,frame_0,,,,,,,,,,,,,,,,,,,
9,30089,#UIAvatar43,财富榜第1名,5,67,1,,#UIDescription55,财富榜第1名,frame_1,,604800,,,,,,,,,,,,,,,,,
10,30090,#UIAvatar44,财富榜第2名,5,68,1,,#UIDescription56,财富榜第2名,frame_2,,604800,,,,,,,,,,,,,,,,,
11,30091,#UIAvatar45,财富榜第3名,5,69,1,,#UIDescription57,财富榜第3名,frame_3,,604800,,,,,,,,,,,,,,,,,
12,30092,#UIAvatar46,财富榜第4-20名,5,70,1,,#UIDescription58,财富榜第4-20名,frame_4,,604800,,,,,,,,,,,,,,,,,
13,30093,#UIAvatar47,财富榜第21-50名,5,71,1,,#UIDescription59,财富榜第21-50名,frame_5,,604800,,,,,,,,,,,,,,,,,
14,30094,#UIAvatar48,battlePass头像框,5,72,1,,#UIDescription60,battlePass头像框,battlePass,,86400,,,,,,,,,,,,,,,,,
15,30101,#UIAvatar49,vip1头像框,5,73,1,,#UIDescription61,vip头像框,VIP 1,,,,,,,,,,,,,,,,,,,
16,30102,#UIAvatar50,vip2头像框,5,74,1,,#UIDescription62,vip头像框,VIP 2,,,,,,,,,,,,,,,,,,,
17,30103,#UIAvatar51,vip3头像框,5,75,1,,#UIDescription63,vip头像框,VIP 3,,,,,,,,,,,,,,,,,,,
18,30104,#UIAvatar52,vip4头像框,5,76,1,,#UIDescription64,vip头像框,VIP 4,,,,,,,,,,,,,,,,,,,
19,30105,#UIAvatar53,vip5头像框,5,77,1,,#UIDescription65,vip头像框,VIP 5,,,,,,,,,,,,,,,,,,,
20,30106,#UIAvatar54,vip6头像框,5,78,1,,#UIDescription66,vip头像框,VIP 6,,,,,,,,,,,,,,,,,,,
21,30107,#UIAvatar55,vip7头像框,5,79,1,,#UIDescription67,vip头像框,VIP 7,,,,,,,,,,,,,,,,,,,
22,30108,#UIAvatar56,vip8头像框,5,80,1,,#UIDescription68,vip头像框,VIP 8,,,,,,,,,,,,,,,,,,,
23,30109,#UIAvatar57,vip9头像框,5,81,1,,#UIDescription69,vip头像框,VIP 9,,,,,,,,,,,,,,,,,,,
24,30110,#UIAvatar58,周卡月卡头像框,5,82,1,,#UIDescription70,周卡月卡头像框,weeklyCard,,604800,,,,,,,,,,,,,,,,,
25,30111,#UIAvatar59,管理员头像框,5,83,1,,#UIDescription71,管理员头像框,admin,,,,,,,,,,,,,,,,,,,
26,30112,#UIAvatar60,新手任务头像框,5,84,1,,#UIDescription72,新手任务头像框,newer,,,,,,,,,,,,,,,,,,,
27,30113,#UIAvatar62,万圣节头像框,5,85,1,,#UIDescription74,万圣节头像框,halloweenframe,,86400,,,,,,,,,,,,,,,,,
28,30114,#UIAvatar63,感恩节头像框,5,86,1,,#UIDescription75,感恩节头像框,thanksframe,,86400,,,,,,,,,,,,,,,,,
29,30115,#UIAvatar64,新手joker头像框,5,87,1,,#UIDescription76,新手joker头像框,frame_10,frame_10,,,,,,,,,,,,,,,,,,
30,30116,#UIAvatar65,圣诞头像框,5,88,1,,#UIDescription77,圣诞头像框,christmasframe,,,,,,,,,,,,,,,,,,,
31,30117,#UIAvatar66,level10头像框,5,89,1,,#UIDescription78,level10头像框,frame_11,frame_11,,,,,,,,,,,,,,,,,,
32,30118,#UIAvatar67,level20头像框,5,90,1,,#UIDescription79,level20头像框,frame_12,frame_12,,,,,,,,,,,,,,,,,,
