_excel_row,id,_comm,itemId,itemCount,rewardType,rewardId,rewardCount,dailyCount,icon
5,1,电话卡碎片,20022,100,1,,50,0,
6,2,电话卡碎片,20022,100,3,,500,,
7,3,电话卡碎片,20022,10,3,,50,,
8,4,电话卡碎片,20022,2,3,,10,,
9,5,奖券,20023,1,2,,10000,20000,
10,6,奖券,20023,5,3,,2,,
11,7,老虎机券,40002,1,3,,6,,
12,8,老虎机券,40002,5,3,,30,,
13,9,卡包1星,210001,1,17,,10,,
14,10,卡包2星,210002,1,17,,20,,
15,11,卡包3星,210003,1,17,,30,,
16,12,卡包4星,210004,1,17,,40,,
17,13,卡包5星,210005,1,17,,50,,
18,14,4星 Joker Card1,210006,1,17,,20,,
19,15,5星 Joker Card3,210008,1,17,,30,,
20,16,ace 卡Joker Card4,210009,1,17,,50,,
21,17,卡包ace卡,210010,1,17,,80,,
